major,gpa,skills,internships,projects,leadership,career
Psychology,3.9,"Design,Python,Communication,Data Analysis",2,7,0,ML Engineer
Biology,2.11,"Leadership,Data Analysis,Python,Project Management,Java",3,9,1,Data Scientist
Engineering,3.22,"Python,Java,Leadership",0,2,0,Software Engineer
Mathematics,2.9,"Data Analysis,Design,Statistics",4,1,3,UX Researcher
Psychology,2.24,"Leadership,Design",3,1,1,UX Researcher
Business,3.14,"Python,Data Analysis",3,7,1,Data Scientist
Mathematics,2.78,"Design,Data Analysis,Project Management",4,0,0,Software Engineer
Psychology,2.59,"Java,Communication,Design,Leadership",4,9,2,Software Engineer
Psychology,3.73,"Project Management,Design,Statistics,Data Analysis,Leadership",2,0,2,UX Researcher
Biology,3.7,"Project Management,Communication",1,9,3,ML Engineer
Computer Science,2.63,"Java,Python,Project Management,Data Analysis,Statistics",3,6,2,Data Scientist
Mathematics,2.59,"Python,Data Analysis",2,9,2,ML Engineer
Computer Science,2.54,"Java,Project Management,Data Analysis,Statistics",2,8,1,Software Engineer
Engineering,2.54,"Project Management,Java,Leadership,Communication,Python",0,9,3,Software Engineer
Business,3.42,"Leadership,Design",4,0,0,UX Researcher
Business,3.06,"Java,Python,Leadership",4,3,1,Software Engineer
Engineering,3.63,"Design,Leadership,Statistics,Java,Data Analysis",3,3,2,Software Engineer
Engineering,2.7,"Leadership,Data Analysis,Design,Project Management",3,8,0,UX Researcher
Biology,3.39,"Data Analysis,Statistics,Design,Leadership",0,4,0,Software Engineer
Computer Science,2.7,"Java,Leadership,Statistics,Design,Python",3,5,3,Software Engineer
Engineering,2.74,"Statistics,Project Management",1,5,2,Data Scientist
Computer Science,2.35,"Java,Project Management,Data Analysis,Statistics,Communication",0,0,3,Software Engineer
Engineering,3.27,"Python,Communication,Java",2,1,0,Software Engineer
Psychology,3.34,"Python,Java",0,0,3,ML Engineer
Biology,3.83,"Data Analysis,Project Management,Java,Statistics",2,0,3,Software Engineer
Mathematics,2.38,"Leadership,Communication",1,2,3,Product Manager
Business,3.23,"Design,Python,Communication",0,8,2,Software Engineer
Mathematics,2.59,"Project Management,Design,Statistics",0,3,0,UX Researcher
Biology,3.59,"Design,Python,Project Management,Leadership,Java",2,8,1,Software Engineer
Mathematics,3.68,"Statistics,Project Management,Data Analysis",2,4,0,Data Scientist
Psychology,2.43,"Data Analysis,Python",2,6,3,UX Researcher
Business,2.65,"Python,Leadership",4,9,0,Software Engineer
Computer Science,3.38,"Design,Data Analysis",0,7,0,UX Researcher
Mathematics,3.48,"Python,Statistics,Java,Communication",2,4,1,Software Engineer
Biology,2.18,"Leadership,Data Analysis,Java,Project Management",4,6,3,Software Engineer
Biology,3.3,"Python,Statistics,Data Analysis",1,2,1,Data Scientist
Mathematics,2.33,"Leadership,Design,Data Analysis,Communication,Python",3,1,2,ML Engineer
Engineering,3.64,"Leadership,Communication,Design,Project Management,Java",3,1,0,Software Engineer
Engineering,2.67,"Python,Data Analysis,Communication",2,8,2,Data Scientist
Mathematics,3.87,"Data Analysis,Project Management,Java,Statistics,Design",0,7,3,Software Engineer
Engineering,2.83,"Java,Data Analysis,Project Management",4,6,0,Software Engineer
Biology,3.81,"Java,Statistics,Project Management",3,8,2,Software Engineer
Psychology,3.9,"Project Management,Design,Statistics,Python,Leadership",0,3,2,Software Engineer
Mathematics,3.58,"Python,Communication",1,4,2,Product Manager
Engineering,2.23,"Data Analysis,Design,Leadership,Project Management,Communication",4,7,1,Product Manager
Engineering,3.41,"Java,Statistics",3,0,2,ML Engineer
Psychology,2.7,"Design,Python,Project Management,Java,Communication",1,9,2,Software Engineer
Engineering,2.51,"Statistics,Data Analysis,Python",0,6,0,ML Engineer
Computer Science,2.75,"Statistics,Data Analysis",4,4,3,Data Scientist
Engineering,3.84,"Design,Leadership,Statistics,Java,Python",0,0,0,Software Engineer
Engineering,3.8,"Project Management,Design",1,3,1,UX Researcher
Psychology,3.17,"Design,Statistics,Project Management,Java,Data Analysis",0,0,0,Software Engineer
Psychology,2.54,"Project Management,Communication",0,1,1,ML Engineer
Mathematics,2.05,"Communication,Project Management",0,5,2,Product Manager
Computer Science,2.94,"Java,Data Analysis,Design,Project Management",4,5,2,Software Engineer
Mathematics,3.45,"Statistics,Communication,Design",0,2,0,UX Researcher
Biology,3.76,"Python,Data Analysis,Design,Leadership,Statistics",2,1,3,Consultant
Biology,3.58,"Data Analysis,Python",2,6,1,Data Scientist
Business,3.27,"Statistics,Leadership,Design,Python",3,6,1,ML Engineer
Mathematics,2.29,"Data Analysis,Statistics,Design,Leadership,Communication",4,1,0,Product Manager
Engineering,2.48,"Java,Design,Project Management,Leadership",2,1,0,Software Engineer
Engineering,3.64,"Project Management,Data Analysis,Python",0,9,1,Data Scientist
Mathematics,2.64,"Java,Communication,Design",1,3,0,Software Engineer
Engineering,2.37,"Python,Leadership,Data Analysis,Communication",1,9,1,Data Scientist
Engineering,3.79,"Python,Project Management,Design",2,2,2,Software Engineer
Mathematics,2.36,"Communication,Data Analysis,Statistics,Leadership",4,3,0,Product Manager
Engineering,3.3,"Project Management,Leadership,Python",2,9,0,Software Engineer
Psychology,3.29,"Java,Statistics,Communication",4,5,1,Software Engineer
Psychology,3.7,"Statistics,Java,Communication",4,3,3,Software Engineer
Business,3.15,"Data Analysis,Leadership,Project Management,Java",0,1,2,Software Engineer
Business,2.56,"Project Management,Statistics,Python,Data Analysis,Communication",0,0,1,ML Engineer
Biology,2.31,"Project Management,Design,Communication,Java,Python",1,4,2,Software Engineer
Business,2.64,"Java,Data Analysis,Project Management",2,0,0,Software Engineer
Psychology,2.82,"Leadership,Design",0,7,3,UX Researcher
Mathematics,2.28,"Java,Project Management",2,9,1,Software Engineer
Mathematics,3.18,"Leadership,Communication,Java",0,8,0,Data Scientist
Biology,2.13,"Python,Java,Communication,Leadership,Design",1,3,2,Software Engineer
Psychology,3.48,"Java,Data Analysis,Project Management,Statistics",2,6,0,Software Engineer
Biology,3.43,"Design,Statistics",4,7,3,UX Researcher
Mathematics,3.08,"Design,Python",2,2,3,Software Engineer
Engineering,3.2,"Python,Communication,Project Management,Leadership,Statistics",1,7,1,Software Engineer
Computer Science,2.04,"Project Management,Java,Python,Leadership,Design",4,7,2,Software Engineer
Psychology,2.75,"Communication,Project Management",0,4,0,Data Scientist
Biology,3.67,"Java,Communication",0,9,3,Software Engineer
Business,2.67,"Leadership,Statistics,Project Management,Design",1,1,2,UX Researcher
Engineering,2.07,"Project Management,Leadership,Statistics,Java",0,0,0,Software Engineer
Biology,2.44,"Data Analysis,Java,Project Management",3,7,0,Software Engineer
Mathematics,2.79,"Java,Statistics,Communication,Python",2,1,0,Software Engineer
Business,3.05,"Communication,Statistics,Project Management,Leadership,Data Analysis",4,6,2,Product Manager
Business,2.54,"Data Analysis,Design,Project Management",4,7,0,UX Researcher
Engineering,2.46,"Java,Communication,Project Management,Data Analysis",2,0,3,Software Engineer
Business,3.61,"Statistics,Java,Python,Leadership,Communication",4,6,3,Software Engineer
Business,2.17,"Design,Java,Python,Communication",1,1,0,Software Engineer
Psychology,2.67,"Statistics,Project Management,Leadership,Python",0,1,0,Software Engineer
